Date,Campaign name,Ad set name,Placement,Amount spent (USD),country,audience description,platform,placements,device,Total investment,Return on ad spend (ROAS)
7/24/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.18,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,2.7,0
7/25/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.1,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,2.8,0
7/27/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.3,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,3.19,0
7/28/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.49,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,3.68,0
7/31/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,1.09,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,5.53,0
8/1/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,1.29,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,6.82,0
8/2/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.84,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,7.66,0
8/3/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.43,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,8.09,0
8/4/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.99,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,9.08,5900.004
8/5/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,1.72,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,10.8,0
8/6/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,1.05,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,11.85,0
8/7/2018,EN_RCH_Lookalikes_LeadGen,"AU_M/F_18-64_Lookalike (AU, 2%) - rainfactoryS71C",facebook|feed|desktop,0.36,AU,"Lookalike (AU, 2%) - rainfactoryS71C",facebook,feed,desktop,12.21,0
7/12/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.82,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,0.82,0
7/13/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,1.04,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,1.86,0
7/14/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.19,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,2.05,0
7/15/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.24,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,2.29,0
7/16/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.35,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,2.64,0
7/17/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.33,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,2.97,0
7/18/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.46,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,3.43,0
7/19/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.18,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,3.61,0
7/20/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.59,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,4.2,12900.0019
7/21/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.18,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,4.38,0
7/22/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.31,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,4.69,0
7/23/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.74,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,5.43,0
7/24/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,1.16,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,6.59,0
7/25/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.76,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,7.35,0
7/26/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,1.02,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,8.37,0
7/27/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,1.74,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,10.11,0
7/30/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,1.08,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,14.99,0
8/1/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,1.92,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,19.73,0
8/2/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,1.13,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,20.86,0
8/3/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.78,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,21.64,0
8/5/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.94,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,23.01,0
8/6/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,1.2,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,24.21,44700
8/7/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryP22C",facebook|feed|desktop,0.37,CA,"Lookalike (CA, 2%) - rainfactoryP22C",facebook,feed,desktop,24.58,0
7/12/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.62,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,0.62,0
7/13/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.51,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,1.13,0
7/14/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.08,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,1.21,0
7/16/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.15,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,1.48,0
7/17/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.16,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,1.64,0
7/21/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.05,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,1.99,0
7/22/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.25,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,2.24,0
7/23/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.56,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,2.8,0
7/24/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.67,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,3.47,0
7/26/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.74,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,4.58,0
7/27/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.83,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,5.41,0
7/28/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.82,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,6.23,0
7/29/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.6,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,6.83,0
7/30/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.39,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,7.22,0
7/31/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.57,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,7.79,0
8/1/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.71,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,8.5,0
8/3/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.84,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,9.81,0
8/4/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.49,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,10.3,5900.0018
8/5/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,1.02,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,11.32,0
8/6/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,1.21,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,12.53,0
8/7/2018,EN_RCH_Lookalikes_LeadGen,"CA_M/F_18-64_Lookalike (CA, 2%) - rainfactoryS71C",facebook|feed|desktop,0.29,CA,"Lookalike (CA, 2%) - rainfactoryS71C",facebook,feed,desktop,12.82,0
7/12/2018,EN_RCH_Lookalikes_LeadGen,"GB_M/F_18-64_Lookalike (GB, 2%) - rainfactoryP22C",facebook|feed|desktop,0.07,GB,"Lookalike (GB, 2%) - rainfactoryP22C",facebook,feed,desktop,0.07,0
